Domain,Program,Target,SD
Communication & Language Development,Auditory Attention & Listening,Orient to sound source,"When you hear the bell, look over here."
Communication & Language Development,Auditory Attention & Listening,Turn head to sudden sound,"When you hear a clap, turn your head."
Communication & Language Development,Auditory Attention & Listening,Attend to soft sound,"When I whisper 'listen', pay attention."
Communication & Language Development,Auditory Attention & Listening,Attend to high-pitched sound,"When a high note is played, look here."
Communication & Language Development,Auditory Attention & Listening,Attend to low-pitched sound,"When a low tone sounds, listen closely."
Communication & Language Development,Auditory Attention & Listening,Maintain focus on auditory cue for 2 seconds,Focus on the sound for two seconds.
Communication & Language Development,Auditory Attention & Listening,Maintain focus on auditory cue for 5 seconds,Keep listening for five seconds.
Communication & Language Development,Auditory Attention & Listening,Shift attention to changing auditory stimulus,"When the sound changes, shift your gaze."
Communication & Language Development,Auditory Attention & Listening,Distinguish between two different sounds,Tell me if you hear a beep or a boop.
Communication & Language Development,Auditory Attention & Listening,Identify a repeated sound pattern,Notice the repeating sound in the song.
Communication & Language Development,Auditory Attention & Listening,Follow rhythmic clapping sound,Clap along when you hear clapping.
Communication & Language Development,Auditory Attention & Listening,Attend to caregiver's tone variation,Listen for changes in my voice.
Communication & Language Development,Auditory Attention & Listening,"Identify environmental sounds (e.g., doorbell)",Point to the door when you hear the bell.
Communication & Language Development,Auditory Attention & Listening,Attend to background music when requested,Listen to the music playing softly.
Communication & Language Development,Auditory Attention & Listening,Respond to a sound prompt amidst distractions,Focus on the sound despite background noise.
Communication & Language Development,Auditory Attention & Listening,Recognize and orient to a specific instrumental sound,Look towards the piano when it plays.
Communication & Language Development,Auditory Attention & Listening,React to soft tapping noise,Turn when you hear gentle taps.
Communication & Language Development,Auditory Attention & Listening,React to loud knocking sound,Look at me when you hear a knock.
Communication & Language Development,Auditory Attention & Listening,Maintain gaze during auditory story reading,Keep looking at the storyteller during the story.
Communication & Language Development,Auditory Attention & Listening,Follow auditory cues during play,Respond when I call your name during play.
Communication & Language Development,Auditory Attention & Listening,Identify the source of a musical tone,Point to the instrument that is playing.
Communication & Language Development,Auditory Attention & Listening,Distinguish between continuous and intermittent sounds,Tell me if the sound is steady or broken.
Communication & Language Development,Auditory Attention & Listening,Attend to sound cues in a noisy environment,Focus on my voice in a noisy room.
Communication & Language Development,Auditory Attention & Listening,Recognize auditory signals from a toy,Look towards the toy when it beeps.
Communication & Language Development,Auditory Attention & Listening,Identify familiar auditory patterns in songs,Listen and point when you hear a familiar tune.
Communication & Language Development,Auditory Attention & Listening,Turn towards a whispered request,Lean in when I whisper 'come here.'
Communication & Language Development,Auditory Attention & Listening,Attend to background sounds while playing,Notice the background noise during playtime.
Communication & Language Development,Auditory Attention & Listening,Focus on a specific auditory cue when multiple sounds occur,Identify my voice among other sounds.
Communication & Language Development,Auditory Attention & Listening,Sustain auditory attention during a short song,Listen to the entire short song.
Communication & Language Development,Auditory Attention & Listening,Shift attention appropriately when a new sound starts,Look at the new sound source immediately.
Communication & Language Development,Responding to Name & Environmental Sounds,Respond to own name,"When you hear your name, look at me."
Communication & Language Development,Responding to Name & Environmental Sounds,Respond to caregiver's name,"When I call your name, turn toward me."
Communication & Language Development,Responding to Name & Environmental Sounds,Respond to sibling's name,"When your sibling calls, look over."
Communication & Language Development,Responding to Name & Environmental Sounds,Turn head when name is called softly,Listen when your name is whispered.
